dataset,lib,fmt,n_trees,task,n_features,loader,artifact,bytes,export_s,train_s,status,error
breast,cat,onnx,2000,binary,30,cat_onnx,/content/coldstart/artifacts/breast__cat__t2000.onnx,11109288,0.3578585299999304,20.913734388999956,ok,
calif,lgb,pickle,100,regression,8,lgb_pickle,/content/coldstart/artifacts/calif__lgb__t100.pkl,288782,0.022302417999981117,2.515107573000023,ok,
calif,lgb,joblib,100,regression,8,lgb_joblib,/content/coldstart/artifacts/calif__lgb__t100.joblib,288782,0.017270802999973967,2.515107573000023,ok,
calif,lgb,native,100,regression,8,lgb_native,/content/coldstart/artifacts/calif__lgb__t100.lgbtxt,287318,0.020499843000152396,2.515107573000023,ok,
calif,lgb,onnx,100,regression,8,lgb_onnx,/content/coldstart/artifacts/calif__lgb__t100.onnx,223504,0.49595440600000984,2.515107573000023,ok,
calif,lgb,pickle,500,regression,8,lgb_pickle,/content/coldstart/artifacts/calif__lgb__t500.pkl,1424984,0.06221555299998727,2.1796923609999794,ok,
calif,lgb,joblib,500,regression,8,lgb_joblib,/content/coldstart/artifacts/calif__lgb__t500.joblib,1424984,0.061135803000070155,2.1796923609999794,ok,
calif,lgb,native,500,regression,8,lgb_native,/content/coldstart/artifacts/calif__lgb__t500.lgbtxt,1423518,0.029715230999954656,2.1796923609999794,ok,
calif,lgb,onnx,500,regression,8,lgb_onnx,/content/coldstart/artifacts/calif__lgb__t500.onnx,1149338,0.8098075359998802,2.1796923609999794,ok,
calif,lgb,pickle,2000,regression,8,lgb_pickle,/content/coldstart/artifacts/calif__lgb__t2000.pkl,5744699,0.27191893600002004,2.3859955249999985,ok,
calif,lgb,joblib,2000,regression,8,lgb_joblib,/content/coldstart/artifacts/calif__lgb__t2000.joblib,5744699,0.2471368890001031,2.3859955249999985,ok,
calif,lgb,native,2000,regression,8,lgb_native,/content/coldstart/artifacts/calif__lgb__t2000.lgbtxt,5743233,0.1289672810000866,2.3859955249999985,ok,
calif,lgb,onnx,2000,regression,8,lgb_onnx,/content/coldstart/artifacts/calif__lgb__t2000.onnx,4630840,3.576381294000157,2.3859955249999985,ok,
calif,xgb,pickle,100,regression,8,xgb_pickle,/content/coldstart/artifacts/calif__xgb__t100.pkl,473262,0.005698497000139469,0.3507446539999819,ok,
calif,xgb,joblib,100,regression,8,xgb_joblib,/content/coldstart/artifacts/calif__xgb__t100.joblib,473287,0.006339506999893274,0.3507446539999819,ok,
calif,xgb,native,100,regression,8,xgb_native,/content/coldstart/artifacts/calif__xgb__t100.ubj,463064,0.0035608419998425234,0.3507446539999819,ok,
calif,xgb,onnx,100,regression,8,xgb_onnx,/content/coldstart/artifacts/calif__xgb__t100.onnx,362333,0.14793823099989822,0.3507446539999819,ok,
calif,xgb,pickle,500,regression,8,xgb_pickle,/content/coldstart/artifacts/calif__xgb__t500.pkl,2260628,0.03447619200005647,2.2077750250000463,ok,
calif,xgb,joblib,500,regression,8,xgb_joblib,/content/coldstart/artifacts/calif__xgb__t500.joblib,2260653,0.03422355999987303,2.2077750250000463,ok,
calif,xgb,native,500,regression,8,xgb_native,/content/coldstart/artifacts/calif__xgb__t500.ubj,2250429,0.02572745399993437,2.2077750250000463,ok,
calif,xgb,onnx,500,regression,8,xgb_onnx,/content/coldstart/artifacts/calif__xgb__t500.onnx,1815293,1.4249689220000619,2.2077750250000463,ok,
calif,xgb,pickle,2000,regression,8,xgb_pickle,/content/coldstart/artifacts/calif__xgb__t2000.pkl,8981606,0.051110363999896435,7.346611360999987,ok,
calif,xgb,joblib,2000,regression,8,xgb_joblib,/content/coldstart/artifacts/calif__xgb__t2000.joblib,8981631,0.06598931600001379,7.346611360999987,ok,
calif,xgb,native,2000,regression,8,xgb_native,/content/coldstart/artifacts/calif__xgb__t2000.ubj,8971406,0.050553396999930555,7.346611360999987,ok,
calif,xgb,onnx,2000,regression,8,xgb_onnx,/content/coldstart/artifacts/calif__xgb__t2000.onnx,7298875,3.0497295379998377,7.346611360999987,ok,
calif,cat,pickle,100,regression,8,cat_pickle,/content/coldstart/artifacts/calif__cat__t100.pkl,119357,0.0006544440000197937,0.4379436489998625,ok,
calif,cat,joblib,100,regression,8,cat_joblib,/content/coldstart/artifacts/calif__cat__t100.joblib,119357,0.0009196900000461028,0.4379436489998625,ok,
calif,cat,native,100,regression,8,cat_native,/content/coldstart/artifacts/calif__cat__t100.cbm,118880,0.005501584000057846,0.4379436489998625,ok,
calif,cat,onnx,100,regression,8,cat_onnx,/content/coldstart/artifacts/calif__cat__t100.onnx,466990,0.008738179999909335,0.4379436489998625,ok,
calif,cat,pickle,500,regression,8,cat_pickle,/content/coldstart/artifacts/calif__cat__t500.pkl,565022,0.0019176720002178627,2.5758761590000177,ok,
calif,cat,joblib,500,regression,8,cat_joblib,/content/coldstart/artifacts/calif__cat__t500.joblib,565022,0.0015374710001196945,2.5758761590000177,ok,
calif,cat,native,500,regression,8,cat_native,/content/coldstart/artifacts/calif__cat__t500.cbm,564544,0.009498821999841311,2.5758761590000177,ok,
calif,cat,onnx,500,regression,8,cat_onnx,/content/coldstart/artifacts/calif__cat__t500.onnx,2379412,0.026366267000184962,2.5758761590000177,ok,
calif,cat,pickle,2000,regression,8,cat_pickle,/content/coldstart/artifacts/calif__cat__t2000.pkl,2230518,0.006712159000016982,9.56202290400006,ok,
calif,cat,joblib,2000,regression,8,cat_joblib,/content/coldstart/artifacts/calif__cat__t2000.joblib,2230518,0.0051491770000211545,9.56202290400006,ok,
calif,cat,native,2000,regression,8,cat_native,/content/coldstart/artifacts/calif__cat__t2000.cbm,2230040,0.014723749000040698,9.56202290400006,ok,
calif,cat,onnx,2000,regression,8,cat_onnx,/content/coldstart/artifacts/calif__cat__t2000.onnx,9571086,0.0846445899999253,9.56202290400006,ok,
covtype,lgb,pickle,100,multiclass,54,lgb_pickle,/content/coldstart/artifacts/covtype__lgb__t100.pkl,2398713,0.10958230500000354,2.4854082070000914,ok,
covtype,lgb,joblib,100,multiclass,54,lgb_joblib,/content/coldstart/artifacts/covtype__lgb__t100.joblib,2398912,0.08996407599988743,2.4854082070000914,ok,
covtype,lgb,native,100,multiclass,54,lgb_native,/content/coldstart/artifacts/covtype__lgb__t100.lgbtxt,2396673,0.04565874300010364,2.4854082070000914,ok,
covtype,lgb,onnx,100,multiclass,54,lgb_onnx,/content/coldstart/artifacts/covtype__lgb__t100.onnx,1613780,1.3044877539998652,2.4854082070000914,ok,
covtype,lgb,pickle,500,multiclass,54,lgb_pickle,/content/coldstart/artifacts/covtype__lgb__t500.pkl,11323837,0.5833382979999442,14.824923304000095,ok,
covtype,lgb,joblib,500,multiclass,54,lgb_joblib,/content/coldstart/artifacts/covtype__lgb__t500.joblib,11324032,0.817262411999991,14.824923304000095,ok,
covtype,lgb,native,500,multiclass,54,lgb_native,/content/coldstart/artifacts/covtype__lgb__t500.lgbtxt,11321795,0.43020568399992953,14.824923304000095,ok,
covtype,lgb,onnx,500,multiclass,54,lgb_onnx,/content/coldstart/artifacts/covtype__lgb__t500.onnx,7532626,7.048921660000133,14.824923304000095,ok,
covtype,xgb,pickle,100,multiclass,54,xgb_pickle,/content/coldstart/artifacts/covtype__xgb__t100.pkl,1776884,0.018053888999929768,4.440449829000045,ok,
covtype,xgb,joblib,100,multiclass,54,xgb_joblib,/content/coldstart/artifacts/covtype__xgb__t100.joblib,1776909,0.01820761100020718,4.440449829000045,ok,
covtype,xgb,native,100,multiclass,54,xgb_native,/content/coldstart/artifacts/covtype__xgb__t100.ubj,1766564,0.01606090099994617,4.440449829000045,ok,
covtype,xgb,onnx,100,multiclass,54,xgb_onnx,/content/coldstart/artifacts/covtype__xgb__t100.onnx,1236255,0.9952884859999358,4.440449829000045,ok,
covtype,xgb,pickle,500,multiclass,54,xgb_pickle,/content/coldstart/artifacts/covtype__xgb__t500.pkl,8944258,0.06474025900001834,41.41689527499989,ok,
covtype,xgb,joblib,500,multiclass,54,xgb_joblib,/content/coldstart/artifacts/covtype__xgb__t500.joblib,8944283,0.07940212600010454,41.41689527499989,ok,
covtype,xgb,native,500,multiclass,54,xgb_native,/content/coldstart/artifacts/covtype__xgb__t500.ubj,8933936,0.056390286000123524,41.41689527499989,ok,
covtype,xgb,onnx,500,multiclass,54,xgb_onnx,/content/coldstart/artifacts/covtype__xgb__t500.onnx,6337442,4.474472910000031,41.41689527499989,ok,
covtype,cat,pickle,100,multiclass,54,cat_pickle,/content/coldstart/artifacts/covtype__cat__t100.pkl,429257,0.0016192130001400074,5.805354724999688,ok,
covtype,cat,joblib,100,multiclass,54,cat_joblib,/content/coldstart/artifacts/covtype__cat__t100.joblib,429257,0.003435318999891024,5.805354724999688,ok,
covtype,cat,native,100,multiclass,54,cat_native,/content/coldstart/artifacts/covtype__cat__t100.cbm,427928,0.007182419999935519,5.805354724999688,ok,
covtype,cat,onnx,100,multiclass,54,cat_onnx,/content/coldstart/artifacts/covtype__cat__t100.onnx,890411,0.014880682999773853,5.805354724999688,ok,
covtype,cat,pickle,500,multiclass,54,cat_pickle,/content/coldstart/artifacts/covtype__cat__t500.pkl,2106962,0.005602371000350104,22.166838715000267,ok,
covtype,cat,joblib,500,multiclass,54,cat_joblib,/content/coldstart/artifacts/covtype__cat__t500.joblib,2106962,0.004377979999844683,22.166838715000267,ok,
covtype,cat,native,500,multiclass,54,cat_native,/content/coldstart/artifacts/covtype__cat__t500.cbm,2105632,0.024653602999933355,22.166838715000267,ok,
covtype,cat,onnx,500,multiclass,54,cat_onnx,/content/coldstart/artifacts/covtype__cat__t500.onnx,4637652,0.03406849000020884,22.166838715000267,ok,
