dataset,lib,crossover_batch,ratio_at_2048,ci_lo,ci_hi
breast,lgb,inf,1.0016305821673546,0.8110205380047937,1.4776448712533623
breast,xgb,32.0,2.9004717747347284,1.6986590787212001,3.024732211761735
breast,cat,8.0,25.1588032342518,10.027356632081498,39.84866726289363
calif,lgb,inf,0.2362533493850884,0.2334446649680628,0.23850552436322459
calif,xgb,512.0,1.2650620741768779,1.2279290452014615,1.2848599801698763
calif,cat,8.0,28.377133571641718,12.612024715229069,28.693941361468298
covtype,lgb,inf,0.35697957113743667,0.3494183857971125,0.35941366483660603
covtype,xgb,512.0,1.7034586864476216,1.6796682774710254,1.7320716295012286
covtype,cat,16.0,9.801885445577014,5.196820076875461,11.239403168252533
