dataset,lib,batch,ratio_lo,ratio,ratio_hi,onnx_slower
breast,lgb,1,0.24959446872299032,0.4053310548669138,0.42500050402266876,False
breast,lgb,2,0.5772776788456331,1.3825593767216346,1.5388528856997146,False
breast,lgb,4,0.7972557061906849,1.4605371254672674,1.4912811123881295,False
breast,lgb,8,0.9284600683045753,1.2601669884048132,1.3100297096171658,False
breast,lgb,16,0.9302557167228342,1.4006809694548006,1.5172846486488196,False
breast,lgb,32,1.095955721762657,1.5359899099841874,1.780279649188401,True
breast,lgb,64,0.9819363377451571,1.4366796288635866,1.4749680537705288,False
breast,lgb,128,0.7570724083180913,0.9906792352775,0.9989840772280196,False
breast,lgb,256,0.7960338124727999,0.9840901712827701,0.9924330041541852,False
breast,lgb,512,0.7903602245117992,0.991892510445067,1.5685337282805347,False
breast,lgb,1024,0.8003498746827274,0.9860990304287386,1.520213731479402,False
breast,lgb,2048,0.8110205380047937,1.0016305821673546,1.4776448712533623,False
breast,xgb,1,0.08260875153674126,0.09526564506413122,0.17972560786719444,False
breast,xgb,2,0.11028726463277583,0.16443604684033827,0.2984226175560036,False
breast,xgb,4,0.2928698961165076,0.29647306469048607,0.3574073658194794,False
breast,xgb,8,0.3639278940369783,0.5161894215710665,0.9199187337356087,False
breast,xgb,16,0.5977721785210464,0.8976614997633696,1.0089588359401056,False
breast,xgb,32,1.349918667310061,2.3198500537542315,2.6090336954107407,True
breast,xgb,64,1.2359264388682125,2.164515993531386,3.257329882824372,True
breast,xgb,128,1.3480894024830565,2.256517131935241,2.2845197636067076,True
breast,xgb,256,1.4950505713480966,2.4569126252222,2.4804821928270315,True
breast,xgb,512,1.5499407584044687,2.6344751879656805,4.851238309541767,True
breast,xgb,1024,1.6121816279298928,2.7810192372390308,4.831531297450164,True
breast,xgb,2048,1.6986590787212001,2.9004717747347284,3.024732211761735,True
breast,cat,1,0.7556636386543154,0.8399417996670617,0.9714637479562573,False
breast,cat,2,0.748395238263817,0.8005379536620797,0.845875385834186,False
breast,cat,4,0.8718647791848672,0.942463808996859,0.9661616471287775,False
breast,cat,8,1.1104380091484303,1.2087224043133717,1.7935209944767054,True
breast,cat,16,2.334407093750983,3.632111253365319,3.928969004113204,True
breast,cat,32,3.3353213913609983,3.79220291251918,4.2002740723934995,True
breast,cat,64,5.49331234332428,5.705928706388866,6.050722136577888,True
breast,cat,128,9.312933503132248,10.095978163548368,16.369020000380395,True
breast,cat,256,9.897903985537795,14.290550724417182,25.051015220969568,True
breast,cat,512,12.1039222958731,18.387229968434024,30.491197008779103,True
breast,cat,1024,8.53858753358966,22.629762528439322,23.387760965289623,True
breast,cat,2048,10.027356632081498,25.1588032342518,39.84866726289363,True
calif,lgb,1,0.3993269439897319,0.5252585061565886,0.644512877826866,False
calif,lgb,2,0.33083581428702186,0.41150171064697066,0.4725790183906234,False
calif,lgb,4,0.31798718933731207,0.3890874042997989,0.40272920430871223,False
calif,lgb,8,0.25415578633656905,0.3384237801832172,0.37241868928933203,False
calif,lgb,16,0.24171514460498256,0.2877291357606506,0.30457300069657495,False
